Fecha,Area_Sanitaria,Personas_Infectadas 
2020-04-20,"GALICIA","65"
2020-04-21,"A.S. A CORUÑA E CEE","18"
2020-04-21,"A.S. FERROL","2"
2020-04-21,"A.S. LUGO, A MARIÑA E MONFORTE","3"
2020-04-21,"A.S. OURENSE, VERÍN E O BARCO","15"
2020-04-21,"A.S. PONTEVEDRA E O SALNÉS","5"
2020-04-21,"A.S. SANTIAGO E BARBANZA","18"
2020-04-21,"A.S. VIGO","8"
2020-04-21,"GALICIA","69"
2020-04-22,"A.S. A CORUÑA E CEE","15"
2020-04-22,"A.S. FERROL","4"
2020-04-22,"A.S. LUGO, A MARIÑA E MONFORTE","5"
2020-04-22,"A.S. OURENSE, VERÍN E O BARCO","16"
2020-04-22,"A.S. PONTEVEDRA E O SALNÉS","6"
2020-04-22,"A.S. SANTIAGO E BARBANZA","12"
2020-04-22,"A.S. VIGO","3"
2020-04-22,"GALICIA","61"
2020-04-23,"A.S. A CORUÑA E CEE","17"
2020-04-23,"A.S. FERROL","2"
2020-04-23,"A.S. LUGO, A MARIÑA E MONFORTE","2"
2020-04-23,"A.S. OURENSE, VERÍN E O BARCO","11"
2020-04-23,"A.S. PONTEVEDRA E O SALNÉS","3"
2020-04-23,"A.S. SANTIAGO E BARBANZA","6"
2020-04-23,"A.S. VIGO","25"
2020-04-23,"GALICIA","66"
2020-04-24,"A.S. A CORUÑA E CEE","39"
2020-04-24,"A.S. FERROL","10"
2020-04-24,"A.S. OURENSE, VERÍN E O BARCO","14"
2020-04-24,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-04-24,"A.S. SANTIAGO E BARBANZA","14"
2020-04-24,"A.S. VIGO","16"
2020-04-24,"GALICIA","94"
2020-04-25,"A.S. A CORUÑA E CEE","34"
2020-04-25,"A.S. FERROL","2"
2020-04-25,"A.S. OURENSE, VERÍN E O BARCO","11"
2020-04-25,"A.S. SANTIAGO E BARBANZA","8"
2020-04-25,"A.S. VIGO","4"
2020-04-25,"GALICIA","59"
2020-04-26,"A.S. A CORUÑA E CEE","15"
2020-04-26,"A.S. FERROL","2"
2020-04-26,"A.S. OURENSE, VERÍN E O BARCO","6"
2020-04-26,"A.S. SANTIAGO E BARBANZA","2"
2020-04-26,"A.S. VIGO","6"
2020-04-26,"GALICIA","31"
2020-04-27,"A.S. A CORUÑA E CEE","7"
2020-04-27,"A.S. FERROL","4"
2020-04-27,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-04-27,"A.S. OURENSE, VERÍN E O BARCO","8"
2020-04-27,"A.S. SANTIAGO E BARBANZA","9"
2020-04-27,"A.S. VIGO","17"
2020-04-27,"GALICIA","46"
2020-04-28,"A.S. A CORUÑA E CEE","18"
2020-04-28,"A.S. FERROL","2"
2020-04-28,"A.S. OURENSE, VERÍN E O BARCO","11"
2020-04-28,"A.S. SANTIAGO E BARBANZA","4"
2020-04-28,"A.S. VIGO","1"
2020-04-28,"GALICIA","36"
2020-04-29,"A.S. A CORUÑA E CEE","25"
2020-04-29,"A.S. LUGO, A MARIÑA E MONFORTE","4"
2020-04-29,"A.S. OURENSE, VERÍN E O BARCO","1"
2020-04-29,"A.S. SANTIAGO E BARBANZA","9"
2020-04-29,"A.S. VIGO","3"
2020-04-29,"GALICIA","42"
2020-04-30,"A.S. A CORUÑA E CEE","5"
2020-04-30,"A.S. OURENSE, VERÍN E O BARCO","12"
2020-04-30,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-04-30,"A.S. SANTIAGO E BARBANZA","11"
2020-04-30,"A.S. VIGO","7"
2020-04-30,"GALICIA","36"
2020-05-01,"A.S. A CORUÑA E CEE","17"
2020-05-01,"A.S. OURENSE, VERÍN E O BARCO","9"
2020-05-01,"A.S. PONTEVEDRA E O SALNÉS","2"
2020-05-01,"A.S. SANTIAGO E BARBANZA","1"
2020-05-01,"A.S. VIGO","4"
2020-05-01,"GALICIA","33"
2020-05-02,"A.S. A CORUÑA E CEE","12"
2020-05-02,"A.S. FERROL","1"
2020-05-02,"A.S. LUGO, A MARIÑA E MONFORTE","3"
2020-05-02,"A.S. OURENSE, VERÍN E O BARCO","6"
2020-05-02,"A.S. SANTIAGO E BARBANZA","1"
2020-05-02,"A.S. VIGO","4"
2020-05-02,"GALICIA","27"
2020-05-03,"A.S. A CORUÑA E CEE","13"
2020-05-03,"A.S. OURENSE, VERÍN E O BARCO","7"
2020-05-03,"A.S. PONTEVEDRA E O SALNÉS","2"
2020-05-03,"A.S. SANTIAGO E BARBANZA","2"
2020-05-03,"A.S. VIGO","6"
2020-05-03,"GALICIA","30"
2020-05-04,"A.S. A CORUÑA E CEE","2"
2020-05-04,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-05-04,"A.S. OURENSE, VERÍN E O BARCO","6"
2020-05-04,"A.S. SANTIAGO E BARBANZA","5"
2020-05-04,"A.S. VIGO","3"
2020-05-04,"GALICIA","17"
2020-05-05,"A.S. A CORUÑA E CEE","10"
2020-05-05,"A.S. FERROL","1"
2020-05-05,"A.S. OURENSE, VERÍN E O BARCO","3"
2020-05-05,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-05-05,"A.S. SANTIAGO E BARBANZA","1"
2020-05-05,"A.S. VIGO","2"
2020-05-05,"GALICIA","18"
2020-05-06,"A.S. A CORUÑA E CEE","9"
2020-05-06,"A.S. FERROL","1"
2020-05-06,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-05-06,"A.S. OURENSE, VERÍN E O BARCO","9"
2020-05-06,"A.S. SANTIAGO E BARBANZA","4"
2020-05-06,"A.S. VIGO","1"
2020-05-06,"GALICIA","25"
2020-05-07,"A.S. A CORUÑA E CEE","17"
2020-05-07,"A.S. PONTEVEDRA E O SALNÉS","3"
2020-05-07,"A.S. SANTIAGO E BARBANZA","1"
2020-05-07,"A.S. VIGO","7"
2020-05-07,"GALICIA","28"
2020-05-08,"A.S. A CORUÑA E CEE","2"
2020-05-08,"A.S. FERROL","1"
2020-05-08,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-05-08,"A.S. OURENSE, VERÍN E O BARCO","1"
2020-05-08,"A.S. SANTIAGO E BARBANZA","2"
2020-05-08,"A.S. VIGO","2"
2020-05-08,"GALICIA","9"
2020-05-09,"A.S. A CORUÑA E CEE","5"
2020-05-09,"A.S. FERROL","1"
2020-05-09,"A.S. OURENSE, VERÍN E O BARCO","3"
2020-05-09,"A.S. SANTIAGO E BARBANZA","1"
2020-05-09,"A.S. VIGO","6"
2020-05-09,"GALICIA","16"
2020-05-10,"A.S. A CORUÑA E CEE","5"
2020-05-10,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-05-10,"A.S. SANTIAGO E BARBANZA","2"
2020-05-10,"GALICIA","8"
2020-05-11,"A.S. A CORUÑA E CEE","5"
2020-05-11,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-05-11,"A.S. OURENSE, VERÍN E O BARCO","4"
2020-05-11,"A.S. VIGO","2"
2020-05-11,"GALICIA","12"
2020-05-12,"A.S. A CORUÑA E CEE","7"
2020-05-12,"A.S. OURENSE, VERÍN E O BARCO","3"
2020-05-12,"A.S. PONTEVEDRA E O SALNÉS","2"
2020-05-12,"A.S. SANTIAGO E BARBANZA","2"
2020-05-12,"A.S. VIGO","2"
2020-05-12,"GALICIA","16"
2020-05-13,"A.S. A CORUÑA E CEE","5"
2020-05-13,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-05-13,"A.S. OURENSE, VERÍN E O BARCO","2"
2020-05-13,"A.S. PONTEVEDRA E O SALNÉS","1"
2020-05-13,"A.S. SANTIAGO E BARBANZA","1"
2020-05-13,"A.S. VIGO","2"
2020-05-13,"GALICIA","12"
2020-05-14,"A.S. A CORUÑA E CEE","2"
2020-05-14,"A.S. OURENSE, VERÍN E O BARCO","1"
2020-05-14,"A.S. SANTIAGO E BARBANZA","1"
2020-05-14,"GALICIA","4"
2020-05-15,"A.S. A CORUÑA E CEE","6"
2020-05-15,"A.S. LUGO, A MARIÑA E MONFORTE","1"
2020-05-15,"A.S. OURENSE, VERÍN E O BARCO","4"
