Fecha,Area_Sanitaria,Casos_Totais,Casos_Confirmados_PDIA_Ultimas24h,Pacientes_Sin_Alta,Pacientes_Con_Alta,Camas_Ocupadas_HOS,Camas_Ocupadas_UCI,Probas_Realizadas_PCR,Probas_Realizadas_Non_PDIA,Exitus,Probas_Antixenos_Realizadas
2021-06-08 18:00:00,"A.S. A CORUÑA E CEE","30.552","15","331","29.642","16","2","511.150","150.235","593","181.471"
2021-06-08 18:00:00,"A.S. FERROL","8.655","6","96","8.336","6","3","146.473","60.950","217","15.363"
2021-06-08 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.981","7","208","12.552","4","2","250.894","134.164","216","40.180"
2021-06-08 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.799","9","164","15.218","4","1","259.595","130.256","418","71.128"
2021-06-08 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.341","8","186","13.974","9","1","240.933","91.479","181","79.781"
2021-06-08 18:00:00,"A.S. SANTIAGO E BARBANZA","20.057","4","253","19.452","13","2","365.336","144.231","365","94.405"
2021-06-08 18:00:00,"A.S. VIGO","25.191","19","441","24.321","4","4","515.272","266.437","437","67.648"
2021-06-08 18:00:00,"GALICIA","127.576","68","1.679","123.495","56","15","2.289.653","977.752","2.427","549.976"
2021-06-09 18:00:00,"A.S. A CORUÑA E CEE","30.580","28","334","29.667","17","2","512.059","150.352","593","181.913"
2021-06-09 18:00:00,"A.S. FERROL","8.661","6","100","8.338","3","3","146.943","60.993","217","15.456"
2021-06-09 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","12.993","11","208","12.564","5","2","251.500","134.204","216","40.373"
2021-06-09 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.806","8","162","15.227","5","1","260.091","130.302","418","71.400"
2021-06-09 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.348","7","171","13.996","7","1","241.478","91.574","181","80.199"
2021-06-09 18:00:00,"A.S. SANTIAGO E BARBANZA","20.068","10","222","19.494","10","2","365.855","144.334","365","94.820"
2021-06-09 18:00:00,"A.S. VIGO","25.205","15","416","24.360","4","4","515.884","266.566","438","67.987"
2021-06-09 18:00:00,"GALICIA","127.661","85","1.613","123.646","51","15","2.293.810","978.325","2.428","552.148"
2021-06-10 18:00:00,"A.S. A CORUÑA E CEE","30.622","43","361","29.682","18","2","513.189","150.685","593","182.323"
2021-06-10 18:00:00,"A.S. FERROL","8.677","15","108","8.346","4","3","147.640","61.082","217","15.523"
2021-06-10 18:00:00,"A.S. LUGO, A MARIÑA E MONFORTE","13.003","12","208","12.574","5","2","251.924","134.327","216","40.585"
2021-06-10 18:00:00,"A.S. OURENSE, VERÍN E O BARCO","15.811","5","155","15.239","7","0","260.421","130.418","418","71.654"
2021-06-10 18:00:00,"A.S. PONTEVEDRA E O SALNÉS","14.355","7","157","14.017","5","2","242.113","91.771","181","80.621"
2021-06-10 18:00:00,"A.S. SANTIAGO E BARBANZA","20.078","8","206","19.520","10","2","366.216","144.570","365","95.206"
2021-06-10 18:00:00,"A.S. VIGO","25.220","16","386","24.404","6","3","516.326","266.874","438","68.171"
2021-06-10 18:00:00,"GALICIA","127.766","106","1.581","123.782","55","14","2.297.829","979.727","2.428","554.083"
2021-06-11 18:00:00,"A.S. A CORUÑA E CEE","30.645","22","368","29.698","19","3","514.217","150.942","594","182.675"
2021-06-11 18:00:00,"A.S. FERROL","8.683","4","110","8.350","5","3","147.969","61.124","217","15.589"
