"Fecha","area_sanitaria","Concello","positivos","aulas_cerradas","centro_cerrado","Nome","Código","Enderezo","Provincia","Cód..postal","Teléfono","Tipo.de.centro","COORDENADA_X","COORDENADA_Y","TITULARIDADE","ENSINO_CONCERTADO","DEPENDENTE"
"2020-09-23","Ourense","MELÓN",1,"0","no","CEIP de Quins",32016261,"Lugar Quins","Ourense",32411,"988481090","CEIP",42.2841,-8.193349,"Pública","Non","Si"
"2020-09-19","Vigo","TOMIÑO",1,"0","no","CEIP de Sobrada",36015238,"Rúa Torrón 52","Pontevedra",36790,"886110744","CEIP",42.01937,-8.675435,"Pública","Non","Si"
"2020-09-22","Vigo","TOMIÑO",1,"0","no","CEIP de Sobrada",36015238,"Rúa Torrón 52","Pontevedra",36790,"886110744","CEIP",42.01937,-8.675435,"Pública","Non","Si"
"2020-09-23","Vigo","TOMIÑO",1,"1","no","CEIP de Sobrada",36015238,"Rúa Torrón 52","Pontevedra",36790,"886110744","CEIP",42.01937,-8.675435,"Pública","Non","Si"
"2020-09-22","Coruña","CURTIS",1,"0","no","CEIP de Teixeiro",15005877,"Rúa Crego Barbazán 18","A Coruña",15310,"881880644","CEIP",43.140385,-8.034488,"Pública","Non","Si"
"2020-09-23","Coruña","CURTIS",1,"0","no","CEIP de Teixeiro",15005877,"Rúa Crego Barbazán 18","A Coruña",15310,"881880644","CEIP",43.140385,-8.034488,"Pública","Non","Si"
"2020-09-19","Santiago","SANTIAGO DE COMPOSTELA",1,"0","no","CEIP de Vite I",15021883,"Avenida BURGO DAS NACIONS s/n","A Coruña",15705,"881867834","CEIP",42.891018,-8.54292,"Pública","Non","Si"
"2020-09-22","Santiago","SANTIAGO DE COMPOSTELA",1,"0","no","CEIP de Vite I",15021883,"Avenida BURGO DAS NACIONS s/n","A Coruña",15705,"881867834","CEIP",42.891018,-8.54292,"Pública","Non","Si"
"2020-09-23","Santiago","SANTIAGO DE COMPOSTELA",1,"0","no","CEIP de Vite I",15021883,"Avenida BURGO DAS NACIONS s/n","A Coruña",15705,"881867834","CEIP",42.891018,-8.54292,"Pública","Non","Si"
"2020-09-22","Coruña","A CORUÑA",1,"0","no","CEIP de Zalaeta",15021721,"Rúa Curros Enriquez, s/n (Zalaeta)","A Coruña",15002,"981211747","CEIP",43.37504,-8.4015045,"Pública","Non","Si"
"2020-09-23","Coruña","A CORUÑA",1,"0","no","CEIP de Zalaeta",15021721,"Rúa Curros Enriquez, s/n (Zalaeta)","A Coruña",15002,"981211747","CEIP",43.37504,-8.4015045,"Pública","Non","Si"
"2020-09-19","Coruña","A CORUÑA",3,"1","no","CEIP Juan Fernández Latorre",15027241,"Rúa Casanova de Eiris 26","A Coruña",15009,"981133029","CEIP",43.3488,-8.398034,"Pública","Non","Si"
"2020-09-22","Coruña","A CORUÑA",3,"1","no","CEIP Juan Fernández Latorre",15027241,"Rúa Casanova de Eiris 26","A Coruña",15009,"981133029","CEIP",43.3488,-8.398034,"Pública","Non","Si"
"2020-09-23","Coruña","A CORUÑA",3,"1","no","CEIP Juan Fernández Latorre",15027241,"Rúa Casanova de Eiris 26","A Coruña",15009,"981133029","CEIP",43.3488,-8.398034,"Pública","Non","Si"
"2020-09-22","Coruña","OLEIROS",1,"0","no","CEIP Juana de Vega",15032911,"Rúa Salvador Allende 43","A Coruña",15176,"881960947","CEIP",43.312626,-8.334911,"Pública","Non","Si"
"2020-09-23","Coruña","OLEIROS",1,"0","no","CEIP Juana de Vega",15032911,"Rúa Salvador Allende 43","A Coruña",15176,"881960947","CEIP",43.312626,-8.334911,"Pública","Non","Si"
"2020-09-19","Pontevedra","SANXENXO",1,"1","no","CEIP Magaláns-Dorrón",36008829,"Dorrón (San Xoán)","Pontevedra",36966,"886151663","CEIP",42.403534,-8.766811,"Pública","Non","Si"
"2020-09-22","Pontevedra","SANXENXO",1,"1","no","CEIP Magaláns-Dorrón",36008829,"Dorrón (San Xoán)","Pontevedra",36966,"886151663","CEIP",42.403534,-8.766811,"Pública","Non","Si"
"2020-09-23","Pontevedra","SANXENXO",1,"1","no","CEIP Magaláns-Dorrón",36008829,"Dorrón (San Xoán)","Pontevedra",36966,"886151663","CEIP",42.403534,-8.766811,"Pública","Non","Si"
"2020-09-19","Ourense","OURENSE",1,"0","no","CEIP Mestre Vide",32015669,"Paseo Maestro Vide 4","Ourense",32004,"988238551","CEIP",42.343945,-7.8607635,"Pública","Non","Si"
"2020-09-22","Ourense","OURENSE",1,"0","no","CEIP Mestre Vide",32015669,"Paseo Maestro Vide 4","Ourense",32004,"988238551","CEIP",42.343945,-7.8607635,"Pública","Non","Si"
"2020-09-23","Ourense","OURENSE",1,"0","no","CEIP Mestre Vide",32015669,"Paseo Maestro Vide 4","Ourense",32004,"988238551","CEIP",42.343945,-7.8607635,"Pública","Non","Si"
"2020-09-23","Lugo","FOZ",1,"0","no","CEIP O Cantel",27016391,"Rúa Pintor Laxeiro s/n","Lugo",27780,"982870314","CEIP",43.57325,-7.258272,"Pública","Non","Si"
"2020-09-22","Ourense","OURENSE",1,"0","no","CEIP O Couto",32008768,"Rampa de Sas","Ourense",32002,"988783060","CEIP",42.336475,-7.8745794,"Pública","Non","Si"
"2020-09-23","Ourense","OURENSE",1,"0","no","CEIP O Couto",32008768,"Rampa de Sas","Ourense",32002,"988783060","CEIP",42.336475,-7.8745794,"Pública","Non","Si"
"2020-09-19","Coruña","CARBALLO",1,"0","no","CEIP Plurilingüe A Cristina",15021524,"Rúa Eduardo Blanco Amor s/n","A Coruña",15100,"881880400","CEIP",43.209293,-8.696205,"Pública","Non","Si"
"2020-09-22","Coruña","CARBALLO",1,"0","no","CEIP Plurilingüe A Cristina",15021524,"Rúa Eduardo Blanco Amor s/n","A Coruña",15100,"881880400","CEIP",43.209293,-8.696205,"Pública","Non","Si"
"2020-09-23","Coruña","CARBALLO",1,"0","no","CEIP Plurilingüe A Cristina",15021524,"Rúa Eduardo Blanco Amor s/n","A Coruña",15100,"881880400","CEIP",43.209293,-8.696205,"Pública","Non","Si"
"2020-09-22","Vigo","VIGO",1,"0","no","CEIP Plurilingüe A Doblada",36016061,"Rúa Gaivota 18","Pontevedra",36205,"886120154","CEIP",42.22528,-8.707635,"Pública","Non","Si"
